DEGURBA,severity,people_estimate,MOE_total,lower_bound,upper_bound,gen_pop,country
Cities,Moderate + Severe,11395410.740972288,502751.7439174512,10892658.997054838,11898162.484889738,13282862.222299138,AFG
Cities,Severe,4766279.971780004,648413.4230143346,4117866.5487656696,5414693.394794338,13282862.222299138,AFG
Towns and semi-dense areas,Moderate + Severe,15894531.163226232,517939.9911241671,15376591.172102064,16412471.1543504,17856123.21980613,AFG
Towns and semi-dense areas,Severe,6125094.954063993,762013.3347194927,5363081.6193445,6887108.288783486,17856123.21980613,AFG
Rural areas,Moderate + Severe,7814175.730703475,410110.72832448274,7404065.002378992,8224286.459027958,9153819.521032857,AFG
Rural areas,Severe,2411029.626750173,502173.034579144,1908856.592171029,2913202.661329317,9153819.521032857,AFG
Cities,Moderate + Severe,37320808.65456098,5892496.458765836,31428312.19579515,43213305.11332682,92576451.31283672,PAK
Cities,Severe,8107559.888033511,3426640.4214658835,4680919.466567628,11534200.309499394,92576451.31283672,PAK
Towns and semi-dense areas,Moderate + Severe,63625524.360000074,8252351.773887781,55373172.58611229,71877876.13388786,139461724.45694903,PAK
Towns and semi-dense areas,Severe,21265812.379476145,5976506.073724925,15289306.30575122,27242318.45320107,139461724.45694903,PAK
Rural areas,Moderate + Severe,7828073.343241162,1099714.6184604822,6728358.72478068,8927787.961701645,9689757.186078906,PAK
Rural areas,Severe,1709066.3584444956,1172590.8056622508,536475.5527822447,2881657.164106746,9689757.186078906,PAK
Cities,Moderate + Severe,22312442.7272056,335609.90954809944,21976832.8176575,22648052.6367537,26837719.596500456,COD
Cities,Severe,12055529.342613325,470549.2291841505,11584980.113429174,12526078.571797475,26837719.596500456,COD
Towns and semi-dense areas,Moderate + Severe,16088068.207373124,1152033.1655269675,14936035.041846156,17240101.37290009,20228312.487032875,COD
Towns and semi-dense areas,Severe,8509717.170038084,1515821.296308616,6993895.873729467,10025538.4663467,20228312.487032875,COD
Rural areas,Moderate + Severe,47541891.14099364,1510821.9332995035,46031069.207694136,49052713.074293144,53664591.90618168,COD
Rural areas,Severe,20598913.17242136,2586166.664209463,18012746.508211896,23185079.83663082,53664591.90618168,COD
Cities,Moderate + Severe,2747298.269916092,284758.6885507661,2462539.581365326,3032056.958466858,4536321.186986161,ZMB
Cities,Severe,711246.3761673246,217695.26532425263,493551.11084307195,928941.6414915771,4536321.186986161,ZMB
Towns and semi-dense areas,Moderate + Severe,1886820.5139870555,131717.87762393133,1755102.6363631242,2018538.3916109868,2553537.502014393,ZMB
Towns and semi-dense areas,Severe,846923.8520426557,137693.16333359535,709230.6887090603,984617.0153762512,2553537.502014393,ZMB
Rural areas,Moderate + Severe,9565659.15009563,368479.9073069126,9197179.242788715,9934139.057402544,12785635.350234702,ZMB
Rural areas,Severe,3752999.7384606823,447512.4722992047,3305487.2661614777,4200512.2107598875,12785635.350234702,ZMB
Cities,Moderate + Severe,8690750.370652586,1798030.757115009,6892719.613537577,10488781.127767596,15849621.188726883,ETH
Cities,Severe,1502520.0162902607,1063195.0417599122,439324.97453034855,2565715.058050173,15849621.188726883,ETH
Towns and semi-dense areas,Moderate + Severe,36451080.62297688,2900046.8057850534,33551033.81719183,39351127.42876194,53054203.43963957,ETH
Towns and semi-dense areas,Severe,11716483.062045274,2484393.9716150337,9232089.09043024,14200877.033660308,53054203.43963957,ETH
Rural areas,Moderate + Severe,33565665.56698201,3074188.6009348636,30491476.966047145,36639854.16791687,54836409.83038252,ETH
Rural areas,Severe,11120593.763091376,2587215.645754429,8533378.117336947,13707809.408845805,54836409.83038252,ETH
